"giver","receiver","yearmonth","direct.cont","indirect.cont","hr.diff.m"
"D1094","D1120","Apr 2022",0,22,952.867719353978
"D1094","D1123","Apr 2022",0,0,2118.06208647868
"D1094","D1124","Apr 2022",0,283,630.357444015087
"D1094","D1125","Apr 2022",0,16,1124.92345627049
"D1094","D1126","Apr 2022",0,0,1665.13137769181
"D1095","D1091","Apr 2022",0,0,930.844923141707
"D1095","D1092","Apr 2022",0,0,1982.36741520244
"D1095","D1093","Apr 2022",2,1225,211.299987228011
"D1095","D1094","Apr 2022",2,2682,139.233249994292
"D1095","D1096","Apr 2022",0,0,1723.04283435527
"D1095","D1118","Apr 2022",0,6,761.417962446245
"D1095","D1119","Apr 2022",4,2290,452.365055440789
"D1095","D1120","Apr 2022",0,148,913.422227334463
"D1095","D1123","Apr 2022",0,0,2083.69657781183
"D1095","D1124","Apr 2022",0,1304,504.757384108121
"D1095","D1125","Apr 2022",0,6,988.523982781957
"D1095","D1126","Apr 2022",0,0,1616.98058440509
"D1096","D1091","Apr 2022",0,0,2453.59799319701
"D1096","D1092","Apr 2022",10,1092,428.524109014869
"D1096","D1093","Apr 2022",0,0,1838.54964004014
"D1096","D1094","Apr 2022",0,0,1782.46332495915
"D1096","D1095","Apr 2022",0,0,1723.04283435527
"D1096","D1118","Apr 2022",0,0,2046.58168158475
"D1096","D1119","Apr 2022",0,0,1427.82287688088
"D1096","D1120","Apr 2022",1,41,843.816736011757
"D1096","D1123","Apr 2022",0,806,505.931952800168
"D1096","D1124","Apr 2022",0,0,1361.4017318258
"D1096","D1125","Apr 2022",0,2,1401.9497211392
"D1096","D1126","Apr 2022",13,3412,186.133771043882
"D1118","D1091","Apr 2022",0,978,451.907646153226
"D1118","D1092","Apr 2022",0,0,2402.34729326589
"D1118","D1093","Apr 2022",0,47,561.509868868954
"D1118","D1094","Apr 2022",0,12,876.244875027343
"D1118","D1095","Apr 2022",0,42,761.417962446245
"D1118","D1096","Apr 2022",0,0,2046.58168158475
"D1118","D1119","Apr 2022",0,112,669.809204950687
"D1118","D1120","Apr 2022",0,0,1414.83097366984
"D1118","D1123","Apr 2022",0,0,2501.09977772246
"D1118","D1124","Apr 2022",0,104,723.186741480262
"D1118","D1125","Apr 2022",0,11,763.260463873357
"D1118","D1126","Apr 2022",0,0,2002.7344310836
"D1119","D1091","Apr 2022",0,18,1032.42679235169
"D1119","D1092","Apr 2022",0,0,1754.14856064159
"D1119","D1093","Apr 2022",0,625,454.031869357208
"D1119","D1094","Apr 2022",0,311,582.678312994908
"D1119","D1095","Apr 2022",4,1472,452.365055440789
"D1119","D1096","Apr 2022",0,0,1427.82287688088
"D1119","D1118","Apr 2022",0,97,669.809204950687
"D1119","D1120","Apr 2022",0,137,745.04194179125
"D1119","D1123","Apr 2022",0,0,1854.47725142316
"D1119","D1124","Apr 2022",12,5762,68.3166148603275
"D1119","D1125","Apr 2022",0,70,551.72438496304
"D1119","D1126","Apr 2022",0,1,1360.35647487261
"D1120","D1091","Apr 2022",0,0,1753.03982541096
"D1120","D1092","Apr 2022",0,50,1068.96612315693
"D1120","D1093","Apr 2022",0,21,1064.3473320367
"D1120","D1094","Apr 2022",0,16,952.867719353978
"D1120","D1095","Apr 2022",0,81,913.422227334463
"D1120","D1096","Apr 2022",1,206,843.816736011757
"D1120","D1118","Apr 2022",0,0,1414.83097366984
"D1120","D1119","Apr 2022",0,102,745.04194179125
